aren't	are not
can't	can not
couldn't	could not
didn't	did not
doesn't	does  not
don't	do not
hadn't	had not
hasn't	has not
haven't	have not
he'd	he would
he'll	he will
he's	he is
I'd	I would
I'll	I will
I'm	I am
I've	I have
isn't	is not
it's	it is
let's	let us
mustn't	must not
shan't	shall not
she'd	she would
she'll	she will
she's	she is
shouldn't	should not
that's	that is
there's	there is
they'd	they would
they'll	they will
they're	they are
they've	they have
we'd	we would
we're	we are
we've	we have
weren't	were not
wasn't	was not
what'll	what will
what're	what are
what's	what is
what've	what have
where's	where is
who'd	who would
who'll	who will
who're	who are
who's	who is
who've	who have
won't	will not
wouldn't	would not
you'd	you would
you'll	you will
you're	you are
you've	you have
n't	not
